movie,directors,stars,year,runtime,genres
The Brainiac,Chano Urueta,"Abel Salazar, Ariadne Welter, David Silva, Germán Robles",1962,77 min,"Horror, Sci-Fi, Thriller"
1. April 2000,Wolfgang Liebeneiner,"Hilde Krahl, Josef Meinrad, Waltraut Haas, Judith Holzmeister",1952,84 min,"Comedy, Fantasy, Romance"
Once in a New Moon,Anthony Kimmins,"Eliot Makeham, Rene Ray, Morton Selten, Wally Patch",1934,63 min,Sci-Fi
Star Trek III: Redemption,Brandon M. Bridges,"Majel Barrett, Brandon M. Bridges, Dennis Gard Robb",2013,252 min,"Animation, Sci-Fi"
Soft Matter,Jim Hickcox,"Ruby Lee Dove II, Hal Schneider, Mary Anzalone, Devyn Placide",2018,72 min,"Comedy, Horror, Sci-Fi"
Chained Heat 2001: Slave Lovers,Lloyd A. Simandl,"Justine Priestley, Todd Farr, Kira Reed Lorsch, Eva Decastelo",2001,93 min,"Action, Sci-Fi, Thriller"
The Gamma People,John Gilling,"Paul Douglas, Eva Bartok, Leslie Phillips, Walter Rilla",1956,76 min,"Drama, Horror, Sci-Fi"
Heroic Trio 2: Executioners,"Siu-Tung Ching, Johnnie To","Maggie Cheung, Michelle Yeoh, Anita Mui, Damian Lau",1993,101 min,"Action, Sci-Fi, Thriller"
Dark World 2: Equilibrium,Oleg Assadulin,"Mariya Pirogova, Pavel Priluchnyy, Makar Zaporozhskiy, Aleksandr Ratnikov",2013,95 min,"Adventure, Mystery, Sci-Fi"
How to Make a Doll,Herschell Gordon Lewis,"Robert Wood, Bobbi West, Jim Vance, Elizabeth Davis",1968,81 min,"Sci-Fi, Comedy"
Love and Energy,Pasquale Festa Campanile,"Gigi Proietti, Agostina Belli, Eleonora Giorgi, Christian De Sica",1975,104 min,"Comedy, Sci-Fi"
Big Bad Bugs,Peter Paul Basler,"Jack Plotnick, Sarah Lieving, Ted Jonas, Camden Toy",2012,95 min,"Action, Adventure, Comedy"
Resilient 3D,Michael Taverna,"Virginia Madsen, Robert Beltran, Miguel Sandoval, John Diehl",,,Sci-Fi
Labyrinthus,Douglas Boswell,"Spencer Bogaert, Emma Verlinden, Felix Maesschalck, Pommelien Thijs",2014,99 min,"Adventure, Family, Sci-Fi"
The Visitants,Rick Sloane,"Marcus Vaughter, Jordana Capra, Joel Hile, Nicole Rio",1986,92 min,"Comedy, Sci-Fi"
Robot 4,Mark Toia,"Jessica Blackmore, Jose Rosete, Kayli Tran, Jordy Tulleners",,,Sci-Fi
